Field_1,Count
aumerle,71
auncient,1
aunt,24
aunt-,1
aunt-mother,1
aunts,2
auricular,1
"aurora's",2
auspicious,7
auspiciously,1
aussi,2
austere,4
austerely,2
austereness,1
austerity,3
austria,24
"austria's",2
aut,1
authentic,4
author,16
"author's",2
"authoris'd",1
authorities,6
authority,58
"authoriz'd",1
authorizing,1
authors,7
authorship,4
authours,1
autolycus,75
autre,1
autumn,7
"autumn's",2
auvergne,3
avail,4
available,2
avails,3
avarice,2
avaricious,1
avaunt,17
ave,1
ave-maries,2
"aveng'd",4
avenge,1
avenged,1
avenue,2
averring,1
aves,1
avez,2
"avis'd",3
avoid,38
avoided,8
avoiding,1
avoids,1
avoirdupois,1
avouch,10
"avouch't",1
avouched,2
avouches,2
avouchment,1
avow,1
avow-,1
"aw'd",2
await,2
awaits,1
"awak'd",17
awake,82
awaken,1
"awaken'd",1
awakens,1
awakes,5
awaketh,1
awaking,4
award,1
awards,3
away,912
"away'",1
away--you,1
awe,20
aweary,5
aweless,2
awful,8
awhile,101
awhile-,1
awkward,4
awl,1
awry,7
axe,21
"axe's",1
axle-tree,1
axletree,1
ay,780
"ay'",6
aye,17
ayez,1
ayre,2
ayry,1
"azur'd",2
azure,2
b,8
"b'",4
"b'uy",1
ba,2
baa,1
babble,2
babbled,1
babbling,6
babe,44
"babe's",1
babe-,1
babes,24
"babes'-",1
babies,3
baboon,4
"baboon's",1
baboons,1
baby,14
"baby'",1
"baby's",1
babylon,2
bacchanals,2
bacchus,2
"bach'lorship",1
bachelor,18
bachelors,3
bachelour,1
back,348
"back'd",8
"back'st",1
back-,2
back-door,2
back-friend,1
back-return,1
back-sword,1
back-trick,1
back-wounding,1
backare,1
backbite,1
backbitten,1
backed,1
backeward,1
background,1
backing,3
backs,21
backs-,1
backside,1
backt,1
backward,22
backwardly,1
backwards,2
bacon,3
bacon-fed,1
bacons,1
bad,131
"bad'st",2
bad-causer,1
bade,49
"badg'd",1
badge,14
badges,4
badly,1
badness,4
baes,2
"baffl'd",1
baffle,2
baffled,2
bag,9
baggage,9
bagot,19
bagpipe,4
bagpiper,1
bags,9
bail,17
bailiff,1
baillez,1
baisant,1
baiser,1
baisées,1
bait,19
baited,6
baiting,1
baiting-place,1
baits,4
"bajazet's",1
"bak'd",7
bake,2
baked,1
"baker's",1
"bakers'",1
bakes,1
baking,1
balance,11
balcony,1
bald,17
bald-pate,1
bald-pated,1
baldrick,1
bale,1
baleful,7
balk,2
"balk'd",1
balked,1
ball,7
ballad,15
"ballad-maker's",1
ballad-makers,2
ballads,5
ballast,1
ballasting,1
ballet-mongers,1
ballow,1
balls,12
balm,17
"balm'd",2
balmes,2
balms,1
balmy,3
balsam,1
balsamum,1
balthasar,37
balthazar,15
ban,7
"ban'd",1
ban-dogs,1
banbury,1
bancke,1
banckes,2
band,33
bandied,1
banding,1
bandit,12
banditti,5
banditto,1
bands,15
bandy,7
bandying,2
bane,7
bang,1
"bang'd",1
banged,1
bangor,1
banish,38
"banish'd",88
banishd,3
banished,41
"banished'",1
banished-,1
banishers,1
banishment,41
banishments,2
banister,1
bank,15
"bank'd",1
banket,3
bankrout,2
bankrupt,14
bankrupts,1
banks,17
banner,5
bannerets,1
banners,9
banning,2
banns,3
banquet,33
banqueted,1
banqueting,3
banquets,2
banquo,71
